UID,0,1,2,3,4,5,6,7,8,9,10,11,12,13
1A12DE218,2016 W15,2016 W17,2016 W47,2017 W14,,,,,,,,,,
1A12DE219,2016 W15,2017 W17,,,,,,,,,,,,
1A12DE22,2016 W43,2017 W12,,,,,,,,,,,,
1A12DE220,,,,,,,,,,,,,,
1A12DE221,2016 W42,,,,,,,,,,,,,
1A12DE222,2016 W41,2016 W43,2016 W47,2017 W14,,,,,,,,,,
1A12DE223,2016 W14,2017 W11,,,,,,,,,,,,
1A12DE224,2016 W44,2016 W45,2016 W46,2016 W47,,,,,,,,,,
1A12DE225,2016 W18,2016 W19,2016 W46,2017 W15,,,,,,,,,,
1A12DE226,2017 W18,,,,,,,,,,,,,
1A12DE227,2017 W12,,,,,,,,,,,,,
1A12DE228,2016 W16,2017 W20,,,,,,,,,,,,
1A12DE229,2016 W41,2017 W16,,,,,,,,,,,,
1A12DE23,2016 W43,2017 W14,,,,,,,,,,,,
1A12DE230,2016 W14,2016 W15,2016 W41,2016 W44,2017 W18,,,,,,,,,
1A12DE230,2016 W42,2016 W43,2016 W45,,,,,,,,,,,
1A12DE231,2016 W42,2016 W45,,,,,,,,,,,,
1A12DE232,2016 W16,2017 W12,,,,,,,,,,,,
1A12DE233,2016 W14,,,,,,,,,,,,,
1A12DE235,2016 W40,2016 W44,2016 W47,,,,,,,,,,,
1A12DE236,2016 W17,2016 W40,2016 W45,2017 W16,,,,,,,,,,
1A12DE237,2016 W46,2016 W47,,,,,,,,,,,,
1A12DE238,2017 W12,,,,,,,,,,,,,
1A12DE239,2016 W44,,,,,,,,,,,,,
1A12DE24,2016 W44,2016 W45,2016 W46,2017 W12,2017 W12,2017 W19,,,,,,,,
1A12DE240,2017 W13,,,,,,,,,,,,,
1A12DE241,2016 W14,2017 W13,,,,,,,,,,,,
1A12DE242,2016 W45,2017 W14,,,,,,,,,,,,
1A12DE243,2016 W13,2017 W12,,,,,,,,,,,,
1A12DE244,2016 W18,2016 W46,2017 W14,,,,,,,,,,,
1A12DE245,2016 W15,2016 W46,,,,,,,,,,,,
1A12DE246,2017 W16,,,,,,,,,,,,,
1A12DE247,2016 W14,2016 W15,2016 W44,2016 W47,2017 W14,,,,,,,,,
1A12DE248,2016 W15,2016 W47,2017 W14,,,,,,,,,,,
1A12DE249,2016 W17,2017 W14,,,,,,,,,,,,
1A12DE25,,,,,,,,,,,,,,
1A12DE250,2017 W19,2017 W20,,,,,,,,,,,,
1A12DE251,2016 W14,2016 W17,2017 W15,,,,,,,,,,,
1A12DE252,2016 W14,2016 W41,2016 W47,2017 W15,,,,,,,,,,
1A12DE253,2016 W14,2016 W19,2016 W41,2017 W12,,,,,,,,,,
1A12DE254,2017 W18,,,,,,,,,,,,,
1A12DE255,2016 W42,2016 W43,2016 W45,,,,,,,,,,,
1A12DE256,2016 W45,2017 W13,,,,,,,,,,,,
1A12DE257,2016 W45,2017 W13,2017 W19,,,,,,,,,,,
1A12DE258,2016 W14,2017 W12,,,,,,,,,,,,
1A12DE259,2016 W18,,,,,,,,,,,,,
1A12DE26,2017 W13,,,,,,,,,,,,,
1A12DE260,2016 W15,2016 W45,2016 W46,,,,,,,,,,,
1A12DE261,2016 W42,2017 W13,,,,,,,,,,,,
1A12DE263,2017 W15,,,,,,,,,,,,,
1A12DE264,2016 W42,2017 W12,,,,,,,,,,,,
1A12DE265,2017 W15,,,,,,,,,,,,,
1A12DE266,2016 W14,2016 W16,2017 W15,,,,,,,,,,,
1A12DE267,2016 W16,2017 W18,,,,,,,,,,,,
1A12DE268,2017 W12,,,,,,,,,,,,,
1A12DE269,2016 W16,2016 W17,,,,,,,,,,,,
1A12DE27,2016 W16,2016 W17,2016 W41,2016 W43,2017 W14,,,,,,,,,
1A12DE270,2016 W14,2016 W47,2017 W12,2017 W19,2017 W20,,,,,,,,,
1A12DE271,2017 W18,2017 W19,,,,,,,,,,,,
1A12DE272,2017 W15,,,,,,,,,,,,,
1A12DE273,2016 W46,2017 W12,2017 W20,2017 W21,,,,,,,,,,
1A12DE274,2017 W18,2017 W19,,,,,,,,,,,,
1A12DE275,2017 W13,,,,,,,,,,,,,
1A12DE277,2016 W15,2016 W43,2016 W44,,,,,,,,,,,
1A12DE279,2016 W20,2017 W16,,,,,,,,,,,,
1A12DE28,2017 W14,,,,,,,,,,,,,
1A12DE280,2017 W15,,,,,,,,,,,,,
1A12DE281,,,,,,,,,,,,,,
1A12DE282,2017 W18,2017 W19,,,,,,,,,,,,
1A12DE283,2017 W11,,,,,,,,,,,,,
1A12DE284,2017 W18,,,,,,,,,,,,,
1A12DE285,,,,,,,,,,,,,,
1A12DE286,2016 W44,2017 W18,,,,,,,,,,,,
1A12DE287,2017 W11,,,,,,,,,,,,,
1A12DE288,2016 W16,2016 W17,2016 W20,,,,,,,,,,,
1A12DE289,2017 W14,,,,,,,,,,,,,
1A12DE29,2017 W11,,,,,,,,,,,,,
1A12DE290,2016 W16,2016 W18,2016 W19,2016 W44,2017 W12,,,,,,,,,
1A12DE291,2016 W40,2016 W44,2016 W45,,,,,,,,,,,
1A12DE292,2017 W18,,,,,,,,,,,,,
1A12DE293,,,,,,,,,,,,,,
1A12DE294,2017 W13,,,,,,,,,,,,,
1A12DE295,2017 W14,,,,,,,,,,,,,
1A12DE296,2016 W16,2017 W14,,,,,,,,,,,,
1A12DE297,2017 W17,,,,,,,,,,,,,
1A12DE298,2016 W15,,,,,,,,,,,,,
1A12DE299,2017 W18,,,,,,,,,,,,,
1A12DE30,2017 W18,,,,,,,,,,,,,
1A12DE300,2016 W41,2016 W46,2017 W16,,,,,,,,,,,
1A12DE301,2016 W14,2016 W15,2016 W16,2016 W44,,,,,,,,,,
1A12DE302,2016 W17,2016 W18,2017 W15,,,,,,,,,,,
1A12DE303,2017 W16,2017 W21,,,,,,,,,,,,
1A12DE304,2016 W42,2016 W44,,,,,,,,,,,,
1A12DE305,2016 W19,2016 W45,2016 W47,,,,,,,,,,,
1A12DE306,2016 W47,2017 W12,,,,,,,,,,,,
1A12DE307,2016 W16,2016 W19,,,,,,,,,,,,
1A12DE308,2017 W15,,,,,,,,,,,,,
1A12DE309,2017 W11,,,,,,,,,,,,,
1A12DE31,2017 W15,,,,,,,,,,,,,
1A12DE310,2017 W16,,,,,,,,,,,,,
1A12DE311,2016 W41,2017 W18,,,,,,,,,,,,
1A12DE312,2017 W17,2017 W19,,,,,,,,,,,,
1A12DE313,2017 W13,,,,,,,,,,,,,
1A12DE314,2016 W17,2016 W18,2016 W45,2016 W47,2017 W12,,,,,,,,,
1A12DE315,2016 W44,2017 W11,,,,,,,,,,,,
1A12DE316,2016 W16,2016 W17,2016 W41,2017 W13,,,,,,,,,,
1A12DE317,2017 W15,,,,,,,,,,,,,
1A12DE318,2016 W16,2016 W17,2016 W43,2017 W11,,,,,,,,,,
1A12DE319,2016 W42,2016 W46,2017 W14,,,,,,,,,,,
1A12DE32,2016 W16,2017 W18,,,,,,,,,,,,
1A12DE320,2016 W13,2016 W15,2016 W16,2016 W17,2016 W18,2016 W45,2016 W46,,,,,,,
1A12DE321,2017 W15,,,,,,,,,,,,,
1A12DE322,2016 W43,2016 W46,,,,,,,,,,,,
1A12DE323,2016 W46,,,,,,,,,,,,,
1A12DE324,2017 W11,,,,,,,,,,,,,
1A12DE325,2017 W15,,,,,,,,,,,,,
1A12DE326,2017 W15,,,,,,,,,,,,,
1A12DE327,2017 W12,,,,,,,,,,,,,
1A12DE328,2017 W19,,,,,,,,,,,,,
1A12DE329,2017 W15,,,,,,,,,,,,,
1A12DE33,2016 W43,2016 W47,,,,,,,,,,,,
1A12DE330,2016 W46,2017 W17,,,,,,,,,,,,
1A12DE331,2016 W14,2017 W18,,,,,,,,,,,,
1A12DE332,2017 W18,2017 W19,,,,,,,,,,,,
1A12DE333,2016 W44,2016 W45,2016 W46,2017 W12,2017 W12,2017 W19,,,,,,,,
1A12DE334,2016 W42,2016 W43,2016 W46,2017 W11,,,,,,,,,,
1A12DE335,2016 W46,2017 W14,,,,,,,,,,,,
1A12DE336,2017 W16,2017 W19,,,,,,,,,,,,
1A12DE337,2017 W13,,,,,,,,,,,,,
1A12DE338,2016 W42,2016 W46,2017 W11,,,,,,,,,,,
1A12DE339,,,,,,,,,,,,,,
1A12DE34,2016 W18,2017 W20,,,,,,,,,,,,
1A12DE340,2016 W15,2016 W43,,,,,,,,,,,,
1A12DE341,2016 W46,,,,,,,,,,,,,
1A12DE342,2016 W13,2016 W46,2017 W12,,,,,,,,,,,
1A12DE343,2016 W15,2016 W20,2016 W45,,,,,,,,,,,
1A12DE344,2017 W12,,,,,,,,,,,,,
1A12DE345,2016 W14,,,,,,,,,,,,,
1A12DE346,2016 W41,2016 W42,2017 W15,,,,,,,,,,,
1A12DE347,2016 W15,2016 W16,,,,,,,,,,,,
1A12DE348,,,,,,,,,,,,,,
1A12DE349,2017 W12,,,,,,,,,,,,,
1A12DE35,2016 W46,2016 W47,2017 W13,,,,,,,,,,,
1A12DE350,2017 W11,,,,,,,,,,,,,
1A12DE351,2016 W14,2016 W16,2016 W17,2016 W22,2016 W24,2017 W18,,,,,,,,
1A12DE353,2016 W15,,,,,,,,,,,,,
1A12DE354,2016 W15,2016 W16,,,,,,,,,,,,
1A12DE355,2017 W18,2017 W19,2017 W20,,,,,,,,,,,
1A12DE356,2016 W18,2016 W19,2016 W20,2016 W47,2017 W20,,,,,,,,,
1A12DE357,2016 W14,2016 W15,,,,,,,,,,,,
1A12DE358,,,,,,,,,,,,,,
1A12DE359,2016 W16,2016 W46,2017 W13,,,,,,,,,,,
1A12DE36,2016 W44,,,,,,,,,,,,,
1A12DE360,2016 W46,2017 W17,2017 W19,,,,,,,,,,,
1A12DE361,2016 W19,,,,,,,,,,,,,
1A12DE362,,,,,,,,,,,,,,
1A12DE363,2016 W41,,,,,,,,,,,,,
1A12DE364,2016 W44,2016 W45,2016 W46,2016 W47,2017 W20,,,,,,,,,
1A12DE365,2016 W18,2016 W45,2016 W46,,,,,,,,,,,
1A12DE366,2016 W41,,,,,,,,,,,,,
1A12DE367,2016 W20,2016 W45,2016 W46,2016 W47,,,,,,,,,,
1A12DE368,2016 W42,2017 W17,,,,,,,,,,,,
1A12DE369,2016 W43,2017 W11,,,,,,,,,,,,
1A12DE37,2016 W42,2016 W45,2016 W46,2017 W12,,,,,,,,,,
1A12DE370,2016 W44,2016 W46,,,,,,,,,,,,
1A12DE371,2016 W13,2016 W19,2017 W14,,,,,,,,,,,
1A12DE372,2016 W43,2017 W14,,,,,,,,,,,,
1A12DE373,2017 W17,,,,,,,,,,,,,
1A12DE374,2016 W14,2016 W46,,,,,,,,,,,,
1A12DE375,2017 W14,,,,,,,,,,,,,
1A12DE376,2017 W16,,,,,,,,,,,,,
1A12DE378,2017 W15,,,,,,,,,,,,,
1A12DE379,2016 W45,2016 W46,2016 W47,2017 W13,,,,,,,,,,
1A12DE38,2017 W13,2017 W14,,,,,,,,,,,,
1A12DE380,2017 W12,2017 W13,,,,,,,,,,,,
1A12DE381,2017 W12,,,,,,,,,,,,,
1A12DE382,2016 W14,2016 W17,,,,,,,,,,,,
1A12DE383,2016 W15,2017 W14,2017 W19,,,,,,,,,,,
1A12DE384,2017 W18,,,,,,,,,,,,,
1A12DE385,2017 W12,,,,,,,,,,,,,
1A12DE386,2016 W44,2017 W16,,,,,,,,,,,,
1A12DE387,2016 W14,2016 W15,2016 W47,2017 W19,2017 W20,,,,,,,,,
1A12DE388,2017 W13,,,,,,,,,,,,,
1A12DE389,2016 W14,2016 W17,2017 W18,,,,,,,,,,,
1A12DE39,2017 W17,,,,,,,,,,,,,
1A12DE390,2016 W18,2016 W19,2016 W45,2017 W13,,,,,,,,,,
1A12DE391,2016 W41,2016 W42,2017 W13,,,,,,,,,,,
1A12DE392,2017 W16,,,,,,,,,,,,,
1A12DE393,2016 W17,2017 W13,,,,,,,,,,,,
1A12DE394,2017 W15,2017 W19,,,,,,,,,,,,
1A12DE395,2016 W15,2016 W17,2016 W41,2016 W46,2017 W11,,,,,,,,,
1A12DE396,2016 W16,2016 W47,2017 W12,,,,,,,,,,,
1A12DE397,2016 W17,2016 W19,2016 W46,2016 W47,2017 W16,2017 W20,,,,,,,,
1A12DE398,2016 W42,2017 W18,,,,,,,,,,,,
1A12DE399,2017 W14,,,,,,,,,,,,,
1A12DE40,2016 W15,2017 W17,,,,,,,,,,,,
1A12DE400,2016 W41,2017 W11,,,,,,,,,,,,
1A12DE401,2017 W14,2017 W20,,,,,,,,,,,,
1A12DE402,2017 W18,2017 W19,,,,,,,,,,,,
1A12DE403,2017 W13,,,,,,,,,,,,,
1A12DE404,2016 W46,2016 W47,2017 W13,,,,,,,,,,,
1A12DE405,2016 W42,2016 W43,2017 W12,,,,,,,,,,,
1A12DE406,2017 W14,,,,,,,,,,,,,
1A12DE407,2017 W13,,,,,,,,,,,,,
1A12DE408,2016 W17,2016 W42,2016 W44,2017 W17,2017 W19,,,,,,,,,
1A12DE409,2016 W47,2017 W14,,,,,,,,,,,,
1A12DE41,,,,,,,,,,,,,,
1A12DE410,2016 W17,2016 W47,2017 W17,2017 W21,,,,,,,,,,
1A12DE412,2017 W20,,,,,,,,,,,,,
1A12DE413,,,,,,,,,,,,,,
1A12DE414,2016 W45,2016 W46,2017 W13,,,,,,,,,,,
1A12DE415,2016 W40,2016 W44,2016 W45,,,,,,,,,,,
1A12DE416,2017 W15,,,,,,,,,,,,,
1A12DE417,2016 W43,2017 W14,,,,,,,,,,,,
1A12DE418,2017 W20,2017 W21,,,,,,,,,,,,
1A12DE419,2016 W46,2016 W47,2017 W13,2017 W14,,,,,,,,,,
1A12DE42,2016 W14,2016 W16,2017 W12,,,,,,,,,,,
1A12DE420,2017 W16,,,,,,,,,,,,,
1A12DE421,2017 W13,,,,,,,,,,,,,
1A12DE422,,,,,,,,,,,,,,
1A12DE423,2016 W47,2017 W13,2017 W19,,,,,,,,,,,
1A12DE424,2016 W17,2016 W19,2016 W41,2017 W15,,,,,,,,,,
1A12DE425,2016 W40,2016 W41,2016 W42,2016 W43,2016 W44,2016 W45,2016 W46,2016 W47,,,,,,
1A12DE426,2016 W16,2016 W17,2017 W18,,,,,,,,,,,
1A12DE427,2016 W44,2016 W45,2016 W46,2017 W12,,,,,,,,,,
1A12DE428,,,,,,,,,,,,,,
1A12DE429,2017 W16,,,,,,,,,,,,,
1A12DE43,2016 W16,2016 W18,,,,,,,,,,,,
1A12DE430,2016 W43,2016 W46,2017 W16,,,,,,,,,,,
1A12DE431,2016 W22,2016 W41,2016 W42,,,,,,,,,,,
1A12DE432,2016 W15,2016 W16,2017 W17,2017 W19,2017 W21,,,,,,,,,
1A12DE433,2016 W17,,,,,,,,,,,,,
1A12DE434,2016 W47,2017 W11,,,,,,,,,,,,
1A12DE435,,,,,,,,,,,,,,
1A12DE436,2016 W14,2016 W41,2016 W42,2016 W46,,,,,,,,,,
1A12DE437,2016 W43,2016 W46,2016 W47,2017 W12,,,,,,,,,,
1A12DE438,2016 W15,2016 W18,2016 W41,2017 W14,,,,,,,,,,
1A12DE439,2016 W47,2017 W15,,,,,,,,,,,,
1A12DE44,2016 W17,2017 W17,,,,,,,,,,,,
1A12DE440,2017 W15,,,,,,,,,,,,,
1A12DE441,,,,,,,,,,,,,,
1A12DE442,2016 W16,2016 W17,2016 W43,2016 W47,2017 W13,,,,,,,,,
1A12DE443,2016 W46,,,,,,,,,,,,,
1A12DE444,2017 W18,,,,,,,,,,,,,
1A12DE445,2017 W19,,,,,,,,,,,,,
1A12DE446,2016 W46,,,,,,,,,,,,,
1A12DE447,2017 W18,,,,,,,,,,,,,
1A12DE448,2017 W11,2017 W20,,,,,,,,,,,,
