UID,0,1,2,3,4,5,6,7,8,9,10
1A12DE340,2016 W08,2016 W10,,,,,,,,,
1A12DE341,2016 W40,,,,,,,,,,
1A12DE342,2016 W36,,,,,,,,,,
1A12DE343,2016 W08,2016 W10,2016 W12,2016 W18,2016 W41,,,,,,
1A12DE344,2016 W44,,,,,,,,,,
1A12DE345,2016 W12,2016 W13,2016 W40,2016 W42,,,,,,,
1A12DE346,,,,,,,,,,,
1A12DE347,2016 W38,,,,,,,,,,
1A12DE348,,,,,,,,,,,
1A12DE349,2016 W38,2016 W41,2016 W42,2016 W43,,,,,,,
1A12DE350,2016 W39,,,,,,,,,,
1A12DE351,2016 W12,2016 W42,2017 W05,,,,,,,,
1A12DE352,2016 W12,2016 W42,2017 W05,,,,,,,,
1A12DE353,2016 W17,,,,,,,,,,
1A12DE354,,,,,,,,,,,
1A12DE355,,,,,,,,,,,
1A12DE356,2016 W39,,,,,,,,,,
1A12DE357,,,,,,,,,,,
1A12DE358,2016 W37,2016 W38,2016 W39,,,,,,,,
1A12DE359,2016 W13,2016 W14,2016 W43,,,,,,,,
1A12DE360,,,,,,,,,,,
1A12DE361,2016 W13,2016 W16,2016 W19,,,,,,,,
1A12DE362,,,,,,,,,,,
1A12DE363,2016 W27,,,,,,,,,,
1A12DE364,,,,,,,,,,,
1A12DE365,,,,,,,,,,,
1A12DE366,2016 W17,,,,,,,,,,
1A12DE367,2016 W08,2016 W10,2016 W11,,,,,,,,
1A12DE368,2016 W38,2016 W39,,,,,,,,,
1A12DE369,2016 W38,,,,,,,,,,
1A12DE370,2016 W21,2016 W30,,,,,,,,,
1A12DE371,,,,,,,,,,,
1A12DE372,2016 W42,2016 W44,2016 W45,,,,,,,,
1A12DE373,2016 W42,,,,,,,,,,
1A12DE374,2016 W11,2016 W35,2016 W41,,,,,,,,
1A12DE375,2016 W39,2016 W40,,,,,,,,,
1A12DE376,,,,,,,,,,,
1A12DE377,2016 W45,,,,,,,,,,
1A12DE378,2016 W42,2016 W44,,,,,,,,,
1A12DE379,2016 W40,2016 W43,,,,,,,,,
1A12DE380,2016 W42,,,,,,,,,,
1A12DE381,2016 W39,2016 W44,,,,,,,,,
1A12DE382,,,,,,,,,,,
1A12DE383,2016 W10,2016 W34,2016 W36,2016 W41,,,,,,,
1A12DE384,2016 W43,,,,,,,,,,
1A12DE385,,,,,,,,,,,
1A12DE386,,,,,,,,,,,
1A12DE387,2016 W11,2016 W12,2016 W34,2016 W35,2016 W37,,,,,,
1A12DE388,2016 W44,2016 W47,,,,,,,,,
1A12DE389,2016 W13,,,,,,,,,,
1A12DE390,2016 W36,2016 W42,2016 W43,,,,,,,,
1A12DE391,2016 W38,,,,,,,,,,
1A12DE392,2016 W46,,,,,,,,,,
1A12DE393,2016 W34,2016 W35,2016 W36,2016 W37,,,,,,,
1A12DE394,,,,,,,,,,,
1A12DE395,2016 W14,2016 W38,,,,,,,,,
1A12DE396,2016 W38,2016 W40,2016 W42,,,,,,,,
1A12DE397,2016 W12,2016 W38,,,,,,,,,
1A12DE398,2016 W38,2016 W41,,,,,,,,,
1A12DE399,2016 W41,2016 W42,2016 W44,,,,,,,,
1A12DE400,2016 W40,,,,,,,,,,
1A12DE401,2016 W45,2016 W46,,,,,,,,,
1A12DE402,2016 W46,,,,,,,,,,
1A12DE403,2016 W38,2016 W39,2016 W41,,,,,,,,
1A12DE404,2016 W42,,,,,,,,,,
1A12DE405,,,,,,,,,,,
1A12DE406,,,,,,,,,,,
1A12DE407,2016 W43,,,,,,,,,,
1A12DE408,,,,,,,,,,,
1A12DE409,,,,,,,,,,,
1A12DE410,2016 W13,,,,,,,,,,
1A12DE411,,,,,,,,,,,
1A12DE412,2016 W08,2016 W37,2016 W38,2016 W41,2016 W42,2016 W43,,,,,
1A12DE413,,,,,,,,,,,
1A12DE414,2016 W39,2016 W40,2016 W41,2016 W42,2016 W44,,,,,,
1A12DE415,2016 W19,2016 W23,,,,,,,,,
1A12DE416,,,,,,,,,,,
1A12DE417,2016 W37,2016 W38,,,,,,,,,
1A12DE418,2016 W47,,,,,,,,,,
1A12DE419,2016 W42,2016 W43,,,,,,,,,
1A12DE420,2016 W42,,,,,,,,,,
1A12DE421,,,,,,,,,,,
1A12DE422,2016 W09,2016 W14,2016 W34,2016 W35,,,,,,,
1A12DE423,2016 W40,2016 W41,2016 W43,2016 W44,2016 W45,,,,,,
1A12DE424,,,,,,,,,,,
1A12DE425,2016 W22,2016 W23,2016 W24,2016 W25,2016 W26,2016 W27,2016 W28,2016 W30,2017 W25,2017 W26,
1A12DE426,,,,,,,,,,,
1A12DE427,,,,,,,,,,,
1A12DE428,2016 W42,,,,,,,,,,
1A12DE429,2016 W35,2016 W38,,,,,,,,,
1A12DE430,2016 W40,2016 W42,,,,,,,,,
1A12DE431,2016 W16,2016 W21,2017 W25,,,,,,,,
1A12DE432,2016 W43,,,,,,,,,,
1A12DE433,2016 W11,,,,,,,,,,
1A12DE434,2016 W40,2016 W41,2016 W42,2016 W43,2016 W44,2016 W45,,,,,
1A12DE435,,,,,,,,,,,
1A12DE436,2016 W11,2016 W13,2016 W28,,,,,,,,
1A12DE437,2016 W42,2016 W45,,,,,,,,,
1A12DE438,2016 W13,2016 W38,,,,,,,,,
1A12DE439,2016 W42,2016 W44,,,,,,,,,
